dataset;seed;C;n_coefs;F;X_valid_bas;X_valid_itr;X_valid_nsv;X_test_bas;X_test_itr;X_test_nsv
pima;10070;0.03125;3;0.7405205874167867;0.7464396456256921;340.2;0.5378603480535824;0.6714814814814815;590.0;0.5325732899022801
pima;13150;0.03125;3;0.7196271870038107;0.7251771871539313;153.8;0.5960955739903631;0.7305555555555556;188.0;0.5765472312703583
pima;13652;0.03125;3;0.7328680505931687;0.7383402547065339;252.4;0.5317644428990116;0.712037037037037;298.0;0.5130293159609121
pima;15431;0.03125;3;0.7246683105628894;0.7348408084163898;661.8;0.8815160697431821;0.7035185185185185;796.0;0.8550488599348535
pima;1718;0.03125;3;0.7234178703860283;0.7316777408637873;414.2;0.7842009835576971;0.737037037037037;507.0;0.7736156351791531
pima;17892;0.03125;3;0.7292124715214823;0.7351052048726467;297.0;0.5586276555229912;0.6957407407407408;345.0;0.5521172638436482
pima;18176;0.03125;3;0.7293205760267776;0.7351688815060907;249.8;0.5793941350818803;0.6837037037037037;261.0;0.5700325732899023
pima;19593;0.03125;3;0.7338657480459426;0.7397563676633444;269.4;0.5737014223502723;0.6914814814814815;244.0;0.5602605863192183
pima;19822;0.03125;3;0.6997406023191874;0.7059011627906977;240.4;0.622961270345901;0.8203703703703704;297.0;0.6140065146579805
pima;23128;0.03125;3;0.7377749557281612;0.7436171096345514;296.8;0.552527610815823;0.6814814814814815;266.0;0.5423452768729642
pima;28922;0.03125;3;0.7192787929058689;0.7252325581395349;224.0;0.6066779262497309;0.7327777777777778;270.0;0.5895765472312704
pima;29155;0.03125;3;0.7323247587271935;0.7387361572535991;252.6;0.646986405709271;0.7135185185185186;323.0;0.6270358306188925
pima;32325;0.03125;3;0.715278816615003;0.7211890919158361;192.4;0.6188929180534167;0.7355555555555555;240.0;0.6058631921824105
pima;3325;0.03125;3;0.7433809202413442;0.7494075304540421;324.4;0.5598455118970742;0.652962962962963;397.0;0.5488599348534202
pima;34488;0.03125;3;0.7188393581521257;0.7239950166112956;141.4;0.554559303230507;0.6912962962962963;174.0;0.5407166123778502
pima;35634;0.03125;3;0.7296351742038817;0.7350872093023256;151.2;0.5855099100889175;0.7162962962962962;180.0;0.5667752442996743
pima;37134;0.03125;3;0.6997029180616487;0.705607696566999;285.0;0.5667734671236733;0.722037037037037;456.0;0.5570032573289903
pima;37448;0.03125;3;0.7465376093538426;0.7511669435215946;130.6;0.4959266802443992;0.692037037037037;161.0;0.48859934853420195
pima;37837;0.03125;3;0.7366036173728985;0.7427616279069766;401.8;0.5329814713625751;0.69;516.0;0.5309446254071661
pima;3786;0.03125;3;0.7161235778746398;0.7219421373200443;265.2;0.56718576656235;0.7135185185185186;262.0;0.5570032573289903
pima;38297;0.03125;3;0.7270385852056326;0.736889534883721;790.8;0.7703632871359264;0.7725925925925926;969.0;0.760586319218241
pima;39750;0.03125;3;0.740694978182965;0.7464396456256922;155.8;0.6188896064113389;0.6892592592592592;188.0;0.5993485342019544
pima;41856;0.03125;3;0.727745150320214;0.7336171096345516;209.6;0.6046321593562167;0.7177777777777778;252.0;0.5977198697068404
pima;42750;0.03125;3;0.7274990377799099;0.7338718161683279;218.4;0.6612438527643932;0.7277777777777779;258.0;0.6416938110749185
pima;44271;0.03125;3;0.7373773893391617;0.743030177187154;178.0;0.5952734588445681;0.6992592592592592;213.0;0.5814332247557004
pima;46810;0.03125;3;0.7212164164937991;0.7273837209302326;369.4;0.5521227625718212;0.72;370.0;0.5439739413680782
pima;47079;0.03125;3;0.7172126771379417;0.7236683277962348;447.8;0.5439761230606196;0.7235185185185186;461.0;0.5390879478827362
pima;48499;0.03125;3;0.7371459561905876;0.7429665005537098;235.6;0.5838739589025217;0.7085185185185185;291.0;0.5732899022801303
pima;49870;0.03125;3;0.7320418016448396;0.7378433001107421;194.0;0.6046462338350471;0.7085185185185185;252.0;0.5879478827361564
pima;50575;0.03125;3;0.7221582921972429;0.7278557585825027;188.6;0.5948710943321245;0.732037037037037;227.0;0.5781758957654723
pima;51869;0.03125;3;0.7051143856223633;0.711436877076412;271.8;0.6254019505571837;0.8218518518518518;332.0;0.6123778501628665
pima;52306;0.03125;3;0.7135508030271884;0.7197439091915836;238.8;0.6278467703210636;0.7192592592592593;265.0;0.6156351791530945
pima;54551;0.03125;3;0.714754358711013;0.720874861572536;241.8;0.6172644180616959;0.7562962962962962;319.0;0.6074918566775245
pima;57556;0.03125;3;0.7496786882819768;0.7554277408637875;324.6;0.5256503237130131;0.7192592592592593;293.0;0.511400651465798
pima;57967;0.03125;3;0.725766150257115;0.731704042081949;265.2;0.5818397827562797;0.6985185185185185;313.0;0.5684039087947883
pima;59520;0.03125;3;0.7261530154174255;0.7316985049833887;152.8;0.596097229811402;0.697037037037037;187.0;0.5798045602605864
pima;63495;0.03125;3;0.7235424786032998;0.7293867663344408;221.8;0.5944563111618897;0.7277777777777779;296.0;0.5781758957654723
pima;68043;0.03125;3;0.7293294218827902;0.7351052048726467;174.4;0.6123772622654944;0.6914814814814815;214.0;0.5977198697068404
pima;68520;0.03125;3;0.7483090584661194;0.7542248062015504;213.4;0.6078982663553723;0.6892592592592592;276.0;0.5912052117263844
pima;70134;0.03125;3;0.7383704757170745;0.7442704872646734;187.2;0.6205214180451376;0.6835185185185185;243.0;0.5993485342019544
pima;71476;0.03125;3;0.7255588861104614;0.7310908084163897;171.8;0.5838756147235606;0.749074074074074;210.0;0.5651465798045603
pima;71477;0.03125;3;0.7257972449599955;0.7326688815060909;309.6;0.6718369678605136;0.71;371.0;0.6514657980456026
pima;71675;0.03125;3;0.7274809715279762;0.7323878737541529;134.8;0.5276787044856193;0.7540740740740741;168.0;0.504885993485342
pima;74740;0.03125;3;0.717857388357843;0.7244587486157253;244.0;0.6750914841123972;0.732037037037037;273.0;0.6514657980456026
pima;74923;0.03125;3;0.7495251574841679;0.7560188261351051;364.6;0.5948669547795274;0.665;438.0;0.5781758957654723
