seed,C,x,acc
941851,0.03125,"[ 0.34070758  0.42098452 -0.16087568 -0.129049   -0.2203533   0.9227076
 -0.13886006  0.00384264  0.93538978 -0.51200206  0.15279123  0.05240039]",0.958041958041958
936159,0.03125,"[ 0.15700371 -0.75877215  0.14412912  0.75206364 -0.68053839 -0.27660664
 -0.44093558 -0.11287022 -0.2779417  -0.24233426 -0.08322217 -0.03447701]",0.986013986013986
118334,0.03125,"[-0.97142149  0.56758486  0.99582209  0.99795759  0.73444972 -0.95284402
 -0.72343485 -0.92910327 -0.60234956  0.55072873 -0.25792871 -0.11450366]",0.965034965034965
108183,0.03125,"[ 0.97581765  0.51607413  0.96219904  0.32973321  0.09571062 -0.96332081
 -0.45843314 -0.94447205 -0.74590839  0.53168529 -0.32772755 -0.06078816]",0.993006993006993
479829,0.03125,"[-0.94057553 -0.87650453  0.16496297 -0.18762661  0.0422821  -0.43523431
 -0.07158279  0.98536166 -0.95621043 -0.83566087  0.11694483 -0.02830892]",0.986013986013986
773980,0.03125,"[ 0.68146804  0.53896735 -0.06111068  0.67757296 -0.23357883 -0.87438719
 -0.2953605   0.40286115 -0.85829005 -0.46939744  0.15128893 -0.0363504 ]",0.986013986013986
910215,0.03125,"[ 0.95246606 -0.25919728 -0.38628786 -0.596786   -0.43791535  0.99604539
  0.71960418 -0.05715246  0.63931555  0.72099556  0.42168244  0.03133613]",0.972027972027972
895438,0.03125,"[-0.38722814 -0.40586496  0.42783099  0.29145696  0.79333488 -0.95625044
  0.78357707  0.22801524  0.07924427 -0.72994753 -0.59965438 -0.05863798]",0.986013986013986
228808,0.03125,"[-0.94629186 -0.20844963  0.08900082  0.03840898  0.80333479 -0.49327256
 -0.89201353  0.32813913 -0.34662001 -0.87031251  0.08076754 -0.00827645]",0.9790209790209791
119632,0.03125,"[-0.66108827  0.5449395  -0.88947934  0.95364261  0.99436015  0.99889782
  0.81111165  0.87695575 -0.30234891  0.29083897  0.25599159  0.07470781]",0.993006993006993
745699,0.03125,"[ 0.98948467  0.58066759  0.69035891 -0.65303183 -0.99915691  0.9823379
  0.99654567  0.85286032  0.99582947  0.29580948 -0.21142529  0.14658322]",0.965034965034965
680352,0.03125,"[-0.5909675   0.03165327 -0.0880044  -0.92880685  0.99997417  0.91811561
  0.26275551  0.257292   -0.99885113  0.91309068  0.4582108   0.03749939]",0.9790209790209791
717830,0.03125,"[-0.99708686  0.10610391 -0.72461578  0.94074099 -0.02714073 -0.84052387
  0.44236222 -0.15154443 -0.77139788  0.06642231 -0.17059919 -0.00735068]",0.9790209790209791
988865,0.03125,"[ 0.24282424 -0.72596216  0.4722588   0.13528613  0.46714483  0.82099115
  0.3226868   0.168009    0.13166392  0.69343054  0.45719271  0.0160215 ]",0.965034965034965
842375,0.03125,"[-0.94127303  0.00977088 -0.93513016 -0.31817657  0.65544189  0.90202392
  0.77631536  0.99950179 -0.47675895  0.91889838 -0.05137344  0.03657064]",0.9790209790209791
750994,0.03125,"[-0.97869917  0.97871623 -0.99212663 -0.63547579 -0.80219078  0.79451135
  0.13301765  0.70607769  0.42616601  0.97909324  0.29674708  0.23972997]",0.965034965034965
719354,0.03125,"[ 0.57361863  0.96777668  0.06923812  0.02146008  0.91208218 -0.7799213
  0.18192666 -0.33057743  0.70224567 -0.34114025 -0.08999578 -0.12614923]",0.965034965034965
329909,0.03125,"[ 0.29130466 -0.3058867  -0.57206276 -0.80653831  0.91992462  0.96051167
 -0.3151915   0.27791381  0.91543681  0.14075271  0.47660793  0.0143993 ]",0.986013986013986
599749,0.03125,"[-0.81845134  0.58345215 -0.3866008   0.97036727  0.60147998  0.85625884
  0.51626855 -0.34288494  0.16270651 -0.585785    0.74083075  0.0196802 ]",0.9790209790209791
328876,0.03125,"[ 0.92274306  0.5186215  -0.62124759  0.98341036  0.31636304 -0.83619446
 -0.02925838  0.09212838 -0.31865773  0.7804397  -0.65944715 -0.06257319]",0.9790209790209791
161269,0.03125,"[-0.37006269  0.49795202 -0.46941532  0.18470833 -0.45789782  0.87094074
  0.5823941  -0.28978152 -0.00657989  0.98877233 -0.05108743  0.19432611]",0.9790209790209791
422522,0.03125,"[ 0.94547993 -0.93297414  0.21073044 -0.79616377 -0.97883117  0.87101789
  0.90430769  0.9960258  -0.87790232 -0.98392316  0.72611322  0.27244396]",0.9440559440559441
858762,0.03125,"[ 0.45549173  0.05945413 -0.9987497   0.84387559  0.98441469 -0.98994403
 -0.25311112 -0.50838536 -0.4098005  -0.40506559  0.14910005 -0.0406389 ]",0.972027972027972
195498,0.03125,"[ 0.6394739  -0.25631889  0.86466452  0.5631055   0.85074009 -0.91738876
 -0.72712888 -0.97597661 -0.42125294  0.76672355 -0.66677431 -0.03690558]",0.958041958041958
167992,0.03125,"[ 0.076881   -0.39983419  0.06701856  0.94337822 -0.09513321 -0.95762743
  0.51794663 -0.91283288 -0.7422765   0.15719093 -0.6429797  -0.17668893]",0.9790209790209791
452798,0.03125,"[-0.57935538 -0.13818984 -0.90255093 -0.65420918 -0.1717995   0.86200927
 -0.12966244  0.53588381  0.07930623  0.39154495  0.09537696  0.04719318]",0.972027972027972
928982,0.03125,"[-0.57431906 -0.59088656  0.78052195 -0.24925255  0.27396085  0.43504045
 -0.56210253  0.38365348  0.87555836  0.46750082 -0.05820386  0.0725454 ]",0.965034965034965
930767,0.03125,"[ 0.21038783 -0.34495043 -0.33557081 -0.19797823  0.80683742  0.63393266
  0.62930208  0.15320284  0.35312977  0.85933492  0.75125472  0.01850118]",0.965034965034965
281191,0.03125,"[-0.20254562  0.78623588  0.40637231 -0.88823195 -0.82502611  0.97998052
 -0.69194664  0.65666037  0.23592702  0.52012259  0.01611149  0.01942584]",0.965034965034965
837153,0.03125,"[ 0.08770168  0.21708019  0.30277344 -0.30417674 -0.96095625  0.97370948
  0.87005855 -0.09699808  0.14062637  0.3341724   0.05139569  0.05111647]",0.972027972027972
941851,0.125,"[ 0.8208985  -0.44727858 -0.98724351 -0.58360074 -0.81286571  0.78332102
  0.67810254 -0.1462123   0.96807224  0.14040417  0.5762015   0.19734387]",0.965034965034965
936159,0.125,"[-0.1489231   0.98816901  0.9694168   0.05250453  0.57124797 -0.69054275
  0.69273944 -0.2876317  -0.31339008 -0.54547849 -0.25934853 -0.47005843]",0.986013986013986
118334,0.125,"[-0.1790198  -0.70973415  0.36254389  0.85475121  0.90966673 -0.74558655
  0.9785333  -0.99584192 -0.99620679  0.33205655 -0.07992424 -0.04831157]",0.972027972027972
108183,0.125,"[-0.53568036 -0.72998039 -0.92365798  0.94449846  0.71401169 -0.98806619
 -0.39076283  0.38754174 -0.78258807 -0.1927135  -0.82785076 -0.04415705]",0.986013986013986
479829,0.125,"[-0.9740899   0.9466885   0.97555098  0.35676678 -0.24571876  0.99022606
 -0.02995476  0.99535487  0.15915479  0.59242513  0.19920248  0.08854663]",0.993006993006993
773980,0.125,"[ 0.49464436 -0.27913819 -0.00922902  0.58572808  0.7366259  -0.67725477
  0.3715644  -0.92302189  0.00309054 -0.03283532  0.03922267 -0.19985096]",0.9790209790209791
910215,0.125,"[-0.63712795 -0.14988999  0.58563508 -0.90147162  0.29303666  0.98242401
  0.34249862  0.27923917  0.60481271 -0.30019429  0.42364742  0.15108536]",0.9790209790209791
895438,0.125,"[ 0.42619384 -0.96596328  0.4122194  -0.60028366  0.25106571  0.51136991
 -0.41122479 -0.98375994  0.93419876  0.50449857  0.55299906  0.10043807]",0.986013986013986
228808,0.125,"[ 0.46308149  0.29403306 -0.65366201 -0.14246613  0.8875709   0.90301852
  0.44364571  0.50292901  0.59214388 -0.16329293  0.37572505  0.05155713]",0.972027972027972
119632,0.125,"[-0.67869726 -0.17272973 -0.57731022 -0.98967978 -0.95758207  0.90236903
 -0.33053671  0.37958969  0.94985245 -0.80511039  0.37086918  0.44669115]",0.993006993006993
745699,0.125,"[-0.67860791 -0.65450268 -0.46284716  0.08913537 -0.627628    0.99636992
  0.83918054 -0.89383442 -0.50295884  0.86966063 -0.05870614  0.32174846]",0.9790209790209791
680352,0.125,"[-0.94923132  0.65637286  0.40958889 -0.71707674 -0.69586315  0.89474126
 -0.81704967 -0.51308236  0.57212682  0.61355826  0.22548379  0.16512431]",0.986013986013986
717830,0.125,"[ 0.43996154 -0.00628615  0.35400289 -0.92183407 -0.07977926  0.99562496
 -0.45351605 -0.40386009 -0.55011861  0.92194802  0.99223492  0.14179124]",0.9790209790209791
988865,0.125,"[-0.40570135  0.8844717   0.43237364  0.00739329 -0.21973717 -0.89562513
  0.79393989 -0.71921593 -0.92446039  0.26772697 -0.34623367 -0.09790848]",0.965034965034965
842375,0.125,"[-0.94006553  0.3320791   0.92565185  0.51284039  0.34760468 -0.9905706
 -0.9992304   0.00667872  0.53849041 -0.99767266 -0.2725315  -0.13354147]",0.9790209790209791
750994,0.125,"[ 0.34212094 -0.64251512 -0.79118645 -0.67182466 -0.59455606  0.57353084
 -0.22758295  0.87661756  0.09006548  0.3715444   0.36429583  0.03846455]",0.965034965034965
719354,0.125,"[-0.1469123  -0.54328358 -0.19519537  0.62672329  0.83293989 -0.60518592
 -0.00207011 -0.82369053 -0.04944723 -0.92030314 -0.17013976 -0.10456155]",0.958041958041958
