seed;C;accuracy
96804;0.03125;0.7662337662337663
96804;0.125;0.7727272727272727
96804;0.5;0.7727272727272727
96804;2.0;0.7727272727272727
96804;8.0;0.7727272727272727
96804;32.0;0.7727272727272727
96804;128.0;0.7727272727272727
96804;512.0;0.7727272727272727
96804;2048.0;0.7727272727272727
1676;0.03125;0.7012987012987013
1676;0.125;0.7272727272727273
1676;0.5;0.7142857142857143
1676;2.0;0.7272727272727273
1676;8.0;0.7337662337662337
1676;32.0;0.7337662337662337
1676;128.0;0.7337662337662337
1676;512.0;0.7337662337662337
1676;2048.0;0.7337662337662337
86974;0.03125;0.7727272727272727
86974;0.125;0.7727272727272727
86974;0.5;0.7727272727272727
86974;2.0;0.7727272727272727
86974;8.0;0.7727272727272727
86974;32.0;0.7727272727272727
86974;128.0;0.7727272727272727
86974;512.0;0.7727272727272727
86974;2048.0;0.7727272727272727
1555;0.03125;0.7337662337662337
1555;0.125;0.7402597402597403
1555;0.5;0.7402597402597403
1555;2.0;0.7467532467532467
1555;8.0;0.7467532467532467
1555;32.0;0.7467532467532467
1555;128.0;0.7402597402597403
1555;512.0;0.7402597402597403
1555;2048.0;0.7402597402597403
48398;0.03125;0.8311688311688312
48398;0.125;0.8116883116883117
48398;0.5;0.8181818181818182
48398;2.0;0.8181818181818182
48398;8.0;0.8181818181818182
48398;32.0;0.8181818181818182
48398;128.0;0.8181818181818182
48398;512.0;0.8181818181818182
48398;2048.0;0.8181818181818182
85120;0.03125;0.7727272727272727
85120;0.125;0.7597402597402597
85120;0.5;0.7532467532467533
85120;2.0;0.7532467532467533
85120;8.0;0.7532467532467533
85120;32.0;0.7597402597402597
85120;128.0;0.7597402597402597
85120;512.0;0.7597402597402597
85120;2048.0;0.7597402597402597
85121;0.03125;0.7987012987012987
85121;0.125;0.8181818181818182
85121;0.5;0.8181818181818182
85121;2.0;0.8181818181818182
85121;8.0;0.8181818181818182
85121;32.0;0.8181818181818182
85121;128.0;0.8181818181818182
85121;512.0;0.8181818181818182
85121;2048.0;0.8181818181818182
5787;0.03125;0.7857142857142857
5787;0.125;0.7727272727272727
5787;0.5;0.7662337662337663
5787;2.0;0.7727272727272727
5787;8.0;0.7727272727272727
