seed,C,x,acc
941851,0.03125,[ 0.23379396  0.4554794  -0.63690917 -0.75983873  0.16083415 -0.01246163],0.8780487804878049
936159,0.03125,[ 0.5782313  -0.22857123 -0.8610587  -0.43706715 -0.49879272 -0.02686275],0.8536585365853658
118334,0.03125,[-0.2211756   0.48558909 -0.88134808  0.7896183  -0.99100026 -0.02159525],0.8780487804878049
108183,0.03125,[ 0.14835776  0.97022839 -0.86774894 -0.98236419 -0.51692271 -0.03018151],0.926829268292683
479829,0.03125,[0.25193982 0.26782295 0.99931147 0.41613938 0.18261655 0.00901286],0.9024390243902439
773980,0.03125,[-0.1225401  -0.91951733  0.38249993  0.95675411 -0.26298763  0.04673721],0.8780487804878049
910215,0.03125,[ 0.84842035 -0.00573249  0.99688914  0.86206448  0.8206023   0.01781295],0.7560975609756098
895438,0.03125,[ 0.70192788 -0.16306673 -0.83914243 -0.7988428   0.10766445 -0.0195029 ],0.8048780487804879
228808,0.03125,[-0.99995305 -0.23557303 -0.91779533  0.53596397 -0.99386588 -0.0243749 ],0.8536585365853658
119632,0.03125,[ 0.28059288 -0.13762079 -0.94386324 -0.02536585 -0.4714746  -0.02506956],0.8536585365853658
745699,0.03125,[-0.19838034 -0.95986857  0.99652381  0.75075518 -0.00359676  0.02439079],0.8780487804878049
680352,0.03125,[-0.29888537  0.83203636  0.80917458  0.99277595  0.3249771   0.01560595],0.9024390243902439
717830,0.03125,[ 0.01356852  0.38597569  0.62876642 -0.23583998  0.97295873  0.0276479 ],0.8780487804878049
988865,0.03125,[-0.75855617 -0.63138392 -0.73609274 -0.99351413 -0.06193625 -0.01002011],0.7560975609756098
842375,0.03125,[-0.87031209  0.14812841 -0.95982603 -0.27384157 -0.39332707 -0.00941382],0.7804878048780488
750994,0.03125,[-0.92205388  0.05630646 -0.85137492 -0.90628095  0.1617749  -0.02393927],0.8536585365853658
719354,0.03125,[ 0.71855619 -0.06854389 -0.99845815 -0.96829333  0.03049182 -0.03130846],0.8780487804878049
