seed,C,x,acc
941851,0.03125,[ 0.92735838 -0.59866162  0.74911644 -0.41365879  0.93099605  0.03229663],0.9431818181818182
936159,0.03125,[-0.27854361  0.26090978  0.97531796  0.84432883 -0.09904722  0.04102667],0.9545454545454546
118334,0.03125,[-0.97351026  0.44216347 -0.19095426 -0.46391959  0.03586182 -0.01021839],0.9204545454545454
108183,0.03125,[-0.93255148  0.06295059  0.83870899  0.47261744  0.07951757  0.03367514],0.9431818181818182
479829,0.03125,[-0.99733456  0.5655565  -0.79559556 -0.60843875 -0.34584852 -0.02152543],0.9545454545454546
773980,0.03125,[-0.05154259  0.09125748 -0.98483124 -0.54940124  0.01741862 -0.01264126],0.9090909090909091
910215,0.03125,[ 0.69746677  0.44951015 -0.71229737 -0.16545434 -0.26659056 -0.01817211],0.9431818181818182
895438,0.03125,[ 0.19681313  0.04586713 -0.97421152 -0.59724349 -0.01761935 -0.05105192],0.9659090909090909
228808,0.03125,[-0.29231719 -0.04087432 -0.80891326 -0.86753218 -0.09473813 -0.01657183],0.9431818181818182
119632,0.03125,[ 0.66663082 -0.96945332 -0.99991911 -0.98517387 -0.25134265 -0.03627834],0.9659090909090909
745699,0.03125,[ 0.79511113 -0.60521693 -0.85463058 -0.83785207 -0.01567097 -0.03108636],0.9545454545454546
680352,0.03125,[-0.36815941  0.15860417 -0.8373824  -0.2994894  -0.02368845 -0.04368323],0.9318181818181818
717830,0.03125,[ 0.4050734  -0.86466704 -0.62873829 -0.59242846 -0.2545547  -0.01596421],0.9090909090909091
988865,0.03125,[ 0.46078141  0.97066124 -0.91551539 -0.35888015 -0.05041256 -0.01625772],0.9659090909090909
842375,0.03125,[-0.11790592 -0.1519619   0.38757466  0.82507612 -0.13485527  0.02392452],0.9431818181818182
750994,0.03125,[-0.32338417  0.86165124 -0.95645365 -0.2648869  -0.00563682 -0.0160958 ],0.9772727272727273
719354,0.03125,[-0.44545722 -0.57500397  0.99997705  0.52309142 -0.09570112  0.01945113],0.9545454545454546
329909,0.03125,[-0.38683685 -0.56860199  0.7180501   0.73866014  0.87425088  0.03647239],0.9545454545454546
599749,0.03125,[-0.9982681   0.28574962 -0.92581617  0.15030921 -0.34992591 -0.0456167 ],0.9204545454545454
328876,0.03125,[-0.27669836 -0.74544122  0.74571823  0.86461539 -0.09442336  0.06450786],0.9204545454545454
161269,0.03125,[-0.56183149  0.96140123 -0.98736596 -0.77126249 -0.18321946 -0.03989313],0.9204545454545454
422522,0.03125,[0.08515213 0.07716309 0.54620943 0.79264786 0.02192844 0.04037443],0.9431818181818182
