seed,C,x,acc
941851,0.03125,[ 0.38389879  0.43792374 -0.79734957 -0.68748728 -0.13745045 -0.02714183],0.75
936159,0.03125,[-0.54672338  0.94958982  0.93079361  0.97271894  0.02232576  0.12230791],0.7864583333333334
118334,0.03125,[-0.40883295  0.951263   -0.97635992 -0.72704446 -0.04321997 -0.03133148],0.7395833333333334
108183,0.03125,"[-5.86551564e-01  5.51159566e-04 -7.79173361e-01 -4.31467532e-01
  7.07713264e-02 -1.03248977e-02]",0.7552083333333334
479829,0.03125,[-0.93246541 -0.66231348  0.99772988  0.98017423 -0.09906866  0.05635486],0.765625
773980,0.03125,[-0.23525097 -0.46740403  0.96891689  0.32571835  0.36438658  0.03858721],0.7760416666666666
910215,0.03125,[ 0.95938776  0.46535299  0.96638914  0.82696197 -0.03605485  0.09921408],0.7135416666666666
895438,0.03125,[-0.96434166  0.19361649  0.53623973  0.2044993   0.10711093  0.0550735 ],0.796875
228808,0.03125,[ 0.47194584 -0.69144722 -0.62022662 -0.47933782 -0.46773286 -0.0362357 ],0.8072916666666666
119632,0.03125,[ 0.31945392 -0.36599073 -0.9984333  -0.81864179 -0.32525284 -0.04135186],0.796875
745699,0.03125,[-0.67337805 -0.21670126  0.89539522  0.41288787  0.32115718  0.03316341],0.7604166666666666
680352,0.03125,[ 0.76200238  0.06331586 -0.57427472 -0.02767201 -0.10547768 -0.01830714],0.7760416666666666
717830,0.03125,[ 0.62380015  0.79694381 -0.76927744 -0.8874481   0.07226558 -0.03554446],0.7604166666666666
988865,0.03125,[ 0.38345813  0.99928102 -0.86974523 -0.37300537  0.10212918 -0.09524475],0.8125
842375,0.03125,[ 0.72156148  0.25920113 -0.85810223 -0.43819161 -0.00963262 -0.05752479],0.765625
750994,0.03125,[-0.33784028 -0.94039319  0.77770048  0.50765231  0.3357477   0.0541688 ],0.7604166666666666
719354,0.03125,[ 0.95483417  0.38644474 -0.99101564  0.12823473 -0.28243419 -0.15861395],0.7916666666666666
329909,0.03125,[-0.44545959 -0.22361389 -0.46274499 -0.98612693  0.14868338 -0.03481783],0.8020833333333334
599749,0.03125,[ 0.9764007  -0.08555024  0.74211958  0.79937889  0.23409429  0.00967809],0.7552083333333334
328876,0.03125,[ 0.74549217 -0.87081543  0.95835075  0.96153373 -0.008569    0.04805672],0.7708333333333334
161269,0.03125,[-0.59600927 -0.98426897  0.75532974  0.82021175  0.13412972  0.02117065],0.7083333333333334
422522,0.03125,"[ 3.40328393e-01 -4.62783849e-01  9.70009487e-01  4.18684751e-01
  7.45674392e-04  5.21578195e-02]",0.765625
858762,0.03125,[ 0.45689609  0.99619748 -0.99363432 -0.98778645  0.2259321  -0.17579751],0.7760416666666666
195498,0.03125,[ 0.30140336 -0.29260697 -0.89694167 -0.83370684 -0.21526759 -0.01348949],0.75
167992,0.03125,[-0.96894193 -0.93882712  0.6613933   0.09786813 -0.03764228  0.07456363],0.78125
452798,0.03125,[ 0.54259307  0.98743491 -0.99903362 -0.8399585   0.1592227  -0.03075545],0.7447916666666666
928982,0.03125,[-0.92420022 -0.75800376  0.94365933 -0.19573037  0.14406818  0.06082691],0.75
930767,0.03125,[ 0.22206676 -0.11070784 -0.64006144 -0.27610051 -0.13238149 -0.01699969],0.78125
281191,0.03125,[-0.29981164  0.73236088  0.83476083  0.14754623  0.23100125  0.03695829],0.7552083333333334
